"","item","itemLabel","birthdate","deathdate"
"1","http://www.wikidata.org/entity/Q33977","Jules Verne","1828","1905"
"2","http://www.wikidata.org/entity/Q34670","Albert Camus","1913","1960"
"3","http://www.wikidata.org/entity/Q42247","Sully Prudhomme","1839","1907"
"4","http://www.wikidata.org/entity/Q42443","Anatole France","1844","1924"
"5","http://www.wikidata.org/entity/Q42596","Frédéric Mistral","1830","1914"
"6","http://www.wikidata.org/entity/Q12954","Georges Lagrange","1928","2004"
"7","http://www.wikidata.org/entity/Q13019","Raymond Schwartz","1894","1973"
"8","http://www.wikidata.org/entity/Q16409","Tristan Tzara","1896","1963"
"9","http://www.wikidata.org/entity/Q18420","Joachim du Bellay","1522","1560"
"10","http://www.wikidata.org/entity/Q20733","Georges Duhamel","1884","1966"
"11","http://www.wikidata.org/entity/Q22750","Maurice Genevoix","1890","1980"
"12","http://www.wikidata.org/entity/Q27764","Louis Antoine de Saint-Just","1767","1794"
"13","http://www.wikidata.org/entity/Q29766","Jean Venturini","1919","1940"
"15","http://www.wikidata.org/entity/Q31258","Henri Murger","1822","1861"
"16","http://www.wikidata.org/entity/Q46373","Edgar Degas","1834","1917"
"17","http://www.wikidata.org/entity/Q46602","Ivan Bunin","1870","1953"
"18","http://www.wikidata.org/entity/Q46706","Eugène Ionescoj","1909","1994"
"19","http://www.wikidata.org/entity/Q49496","Jean de La Fontaine","1621","1695"
"20","http://www.wikidata.org/entity/Q49752","Pierre de Ronsard","1524","1585"
"21","http://www.wikidata.org/entity/Q49767","François-René de Chateaubriand","1768","1848"
"22","http://www.wikidata.org/entity/Q50656","Zacharie Astruc","1833","1907"
"23","http://www.wikidata.org/entity/Q51107","Georges Courteline","1858","1929"
"24","http://www.wikidata.org/entity/Q5382","Wace","1100","1174"
"25","http://www.wikidata.org/entity/Q5617","Marie de France","1101","1300"
"26","http://www.wikidata.org/entity/Q5623","Aimeric de Peguilhan","1175","1225"
"30","http://www.wikidata.org/entity/Q5648","Gautier d'Arras","1135","1189"
"31","http://www.wikidata.org/entity/Q5649","Gui de Cambrai","1170","1248"
"32","http://www.wikidata.org/entity/Q5651","John of Hauville","1150","1199"
"33","http://www.wikidata.org/entity/Q5652","Hélinand of Froidmont","1160","1229"
"34","http://www.wikidata.org/entity/Q5658","Hugues III d'Oisy","1145","1189"
"35","http://www.wikidata.org/entity/Q5659","Conon de Béthune","1150","1219"
"36","http://www.wikidata.org/entity/Q5912","Marcel Duchamp","1887","1968"
"37","http://www.wikidata.org/entity/Q6050","Anna de Noailles","1876","1933"
"38","http://www.wikidata.org/entity/Q7199","Marcel Proust","1871","1922"
"39","http://www.wikidata.org/entity/Q7833","Boris Vian","1920","1959"
"41","http://www.wikidata.org/entity/Q7841","Alfred Jarry","1873","1907"
"42","http://www.wikidata.org/entity/Q9327","Guy de Maupassant","1850","1893"
"43","http://www.wikidata.org/entity/Q12571","Edmond Privat","1889","1962"
"44","http://www.wikidata.org/entity/Q12622","Gaston Waringhien","1901","1991"
"45","http://www.wikidata.org/entity/Q493","Arthur Rimbaud","1854","1891"
"46","http://www.wikidata.org/entity/Q501","Charles Baudelaire","1821","1867"
"47","http://www.wikidata.org/entity/Q504","Émile Zola","1840","1902"
"48","http://www.wikidata.org/entity/Q535","Victor Hugo","1802","1885"
"49","http://www.wikidata.org/entity/Q755","Paul Verlaine","1844","1896"
"50","http://www.wikidata.org/entity/Q767","Stéphane Mallarmé","1842","1898"
"51","http://www.wikidata.org/entity/Q1698","Serge Gainsbourg","1928","1991"
"52","http://www.wikidata.org/entity/Q1785","Charles Aznavour","1924","2018"
"53","http://www.wikidata.org/entity/Q1804","Barbara","1930","1997"
"54","http://www.wikidata.org/entity/Q2908","Antoine de Saint-Exupéry","1900","1944"
"55","http://www.wikidata.org/entity/Q3048","Charles Maurras","1868","1952"
"56","http://www.wikidata.org/entity/Q4128","Louis Aragon","1897","1982"
"57","http://www.wikidata.org/entity/Q4137","Elsa Triolet","1896","1970"
"59","http://www.wikidata.org/entity/Q4214","Adam de la Halle","1240","1288"
"60","http://www.wikidata.org/entity/Q4295","Peter Abelard","1079","1142"
"61","http://www.wikidata.org/entity/Q4302","Chrétien de Troyes","1135","1181"
"62","http://www.wikidata.org/entity/Q4344","Arnaut Daniel","1150","1210"
"63","http://www.wikidata.org/entity/Q4506","Béroul","1160","1213"
"64","http://www.wikidata.org/entity/Q4510","Bertran de Born","1140","1215"
"65","http://www.wikidata.org/entity/Q5169","Bertrand de Bar-sur-Aube","1200","1300"
"66","http://www.wikidata.org/entity/Q5170","Blondel de Nesle","1155","1202"
"67","http://www.wikidata.org/entity/Q5172","Jean Bodel","1165","1205"
"68","http://www.wikidata.org/entity/Q5197","Gace Brulé","1160","1213"
"69","http://www.wikidata.org/entity/Q5198","Walter of Châtillon","1135","1201"
"70","http://www.wikidata.org/entity/Q5199","Le Chastelain de Couci","1200","1300"
"74","http://www.wikidata.org/entity/Q5201","Raimbaut of Orange","1147","1173"
"75","http://www.wikidata.org/entity/Q5220","Tibors de Sarenom","1130","1182"
"79","http://www.wikidata.org/entity/Q5254","Folquet de Marselha","1150","1231"
"80","http://www.wikidata.org/entity/Q5258","Graindor de Douai","1200","1200"
"81","http://www.wikidata.org/entity/Q5260","Jaufre Rudel","1120","1148"
"83","http://www.wikidata.org/entity/Q5269","Peire Vidal","1140","1205"
"84","http://www.wikidata.org/entity/Q5271","Hugh Primas","1093","1160"
"86","http://www.wikidata.org/entity/Q5351","William IX","1071","1126"
"87","http://www.wikidata.org/entity/Q5353","Gilles de Corbeil","1140","1224"
"88","http://www.wikidata.org/entity/Q5355","Gilles de Paris","1160","1224"
"89","http://www.wikidata.org/entity/Q5356","Gautier de Coincy","1177","1236"
"90","http://www.wikidata.org/entity/Q5363","Maria de Ventadorn","1180","1222"
"91","http://www.wikidata.org/entity/Q5380","Robert de Boron","1200","1300"
"92","http://www.wikidata.org/entity/Q184622","Jean Genet","1910","1986"
"94","http://www.wikidata.org/entity/Q187166","Antonin Artaud","1896","1948"
"95","http://www.wikidata.org/entity/Q188697","Alphonse de Lamartine","1790","1869"
"96","http://www.wikidata.org/entity/Q188857","Nicolas Boileau-Despréaux","1636","1711"
"97","http://www.wikidata.org/entity/Q190058","Margaret de Valois-Angoulême","1492","1549"
"98","http://www.wikidata.org/entity/Q190302","Claude Adrien Helvétius","1715","1771"
"102","http://www.wikidata.org/entity/Q191305","Gérard de Nerval","1808","1855"
"103","http://www.wikidata.org/entity/Q115906","Pierre Victor, baron de Besenval de Brünstatt","1721","1791"
"104","http://www.wikidata.org/entity/Q117913","Jacques Arago","1790","1855"
"105","http://www.wikidata.org/entity/Q120381","Colette Peignot","1903","1938"
"106","http://www.wikidata.org/entity/Q123080","Blaise Cendrars","1887","1961"
"107","http://www.wikidata.org/entity/Q126961","Casimir Delavigne","1793","1843"
"108","http://www.wikidata.org/entity/Q127984","Jean Lorrain","1855","1906"
"109","http://www.wikidata.org/entity/Q128460","Charles Perrault","1628","1703"
"110","http://www.wikidata.org/entity/Q129022","Charles-Jean-François Hénault","1685","1770"
"111","http://www.wikidata.org/entity/Q130139","Glenmor","1931","1996"
"112","http://www.wikidata.org/entity/Q130247","Youenn Gwernig","1925","2006"
"113","http://www.wikidata.org/entity/Q132082","Louis-Xavier de Ricard","1843","1911"
"114","http://www.wikidata.org/entity/Q132684","Saint-John Perse","1887","1975"
"115","http://www.wikidata.org/entity/Q133855","Guillaume Apollinaire","1880","1918"
"116","http://www.wikidata.org/entity/Q135640","Valery Larbaud","1881","1957"
"117","http://www.wikidata.org/entity/Q153739","Jean Arp","1886","1966"
"120","http://www.wikidata.org/entity/Q153905","Paul Celan","1920","1970"
"121","http://www.wikidata.org/entity/Q154545","Léopold Sédar Senghor","1906","2001"
"122","http://www.wikidata.org/entity/Q154782","Adelbert von Chamisso","1781","1838"
"123","http://www.wikidata.org/entity/Q154842","Max Ernst","1891","1976"
"124","http://www.wikidata.org/entity/Q155493","Philippe Léotard","1940","2001"
"125","http://www.wikidata.org/entity/Q156214","Max Jacob","1876","1944"
"126","http://www.wikidata.org/entity/Q157303","Georges Perec","1936","1982"
"127","http://www.wikidata.org/entity/Q157309","Simone Weil","1909","1943"
"128","http://www.wikidata.org/entity/Q157321","Francis Picabia","1879","1953"
"129","http://www.wikidata.org/entity/Q160780","Henri Michaux","1899","1984"
"130","http://www.wikidata.org/entity/Q161135","Savielly Tartakower","1887","1956"
"131","http://www.wikidata.org/entity/Q161955","André Breton","1896","1966"
"132","http://www.wikidata.org/entity/Q163118","Marguerite Yourcenar","1903","1987"
"133","http://www.wikidata.org/entity/Q164469","Pierre Emmanuel","1916","1984"
"134","http://www.wikidata.org/entity/Q165274","Jacques Prévert","1900","1977"
"135","http://www.wikidata.org/entity/Q166641","Alexander Ginzburg","1936","2002"
"136","http://www.wikidata.org/entity/Q170095","Robert Desnos","1900","1945"
"137","http://www.wikidata.org/entity/Q170353","René of Anjou","1409","1480"
"141","http://www.wikidata.org/entity/Q171292","Pierre Petit","1617","1687"
"142","http://www.wikidata.org/entity/Q175053","Adam of Saint Victor","1122","1192"
"143","http://www.wikidata.org/entity/Q177029","Claude de Malleville","1597","1647"
"144","http://www.wikidata.org/entity/Q177411","Jean Giono","1895","1970"
"146","http://www.wikidata.org/entity/Q179680","Alfred de Musset","1810","1857"
"147","http://www.wikidata.org/entity/Q241098","Maurice de Vlaminck","1876","1958"
"148","http://www.wikidata.org/entity/Q245355","Zygmunt Krasinski","1812","1859"
"149","http://www.wikidata.org/entity/Q247505","Charles Méryon","1821","1868"
"150","http://www.wikidata.org/entity/Q250136","Yves Bonnefoy","1923","2016"
"151","http://www.wikidata.org/entity/Q250321","Maurice Scève","1501","1564"
"152","http://www.wikidata.org/entity/Q250333","Alice Rahon","1904","1987"
"153","http://www.wikidata.org/entity/Q251037","Auguste Brizeux","1803","1858"
"154","http://www.wikidata.org/entity/Q253453","Marie d'Agoult","1805","1876"
"155","http://www.wikidata.org/entity/Q253974","Flodoard","0894","0966"
"156","http://www.wikidata.org/entity/Q255132","Marguerite Porete","1250","1310"
"157","http://www.wikidata.org/entity/Q256991","Émile Augier","1820","1889"
"158","http://www.wikidata.org/entity/Q257956","Théodore Aubanel","1829","1886"
"159","http://www.wikidata.org/entity/Q264193","Émile Bernard","1868","1941"
"161","http://www.wikidata.org/entity/Q264719","Laurent Drelincourt","1625","1680"
"162","http://www.wikidata.org/entity/Q264918","Arthur de Gobineau","1816","1882"
"163","http://www.wikidata.org/entity/Q266337","Jean Desmarets","1595","1676"
"164","http://www.wikidata.org/entity/Q268322","Han Ryner","1861","1938"
"165","http://www.wikidata.org/entity/Q268552","Azalais de Porcairagues","t211","t211"
"166","http://www.wikidata.org/entity/Q269181","Jean d'Auton","1466","1528"
"167","http://www.wikidata.org/entity/Q270337","Savitri Devi","1905","1982"
"168","http://www.wikidata.org/entity/Q270617","Juliette Adam","1836","1936"
"172","http://www.wikidata.org/entity/Q270800","Gaston Bachelard","1884","1962"
"173","http://www.wikidata.org/entity/Q271499","Maria of Cleves","1426","1487"
"174","http://www.wikidata.org/entity/Q273043","Adrienne Monnier","1892","1955"
