"","item","itemLabel","birthdate","deathdate"
"1","http://www.wikidata.org/entity/Q33977","Jules Verne","1828","1905"
"2","http://www.wikidata.org/entity/Q34670","Albert Camus","1913","1960"
"3","http://www.wikidata.org/entity/Q42247","Sully Prudhomme","1839","1907"
"4","http://www.wikidata.org/entity/Q42443","Anatole France","1844","1924"
"5","http://www.wikidata.org/entity/Q42596","Frédéric Mistral","1830","1914"
"7","http://www.wikidata.org/entity/Q13019","Raymond Schwartz","1894","1973"
"8","http://www.wikidata.org/entity/Q16409","Tristan Tzara","1896","1963"
"10","http://www.wikidata.org/entity/Q20733","Georges Duhamel","1884","1966"
"11","http://www.wikidata.org/entity/Q22750","Maurice Genevoix","1890","1980"
"13","http://www.wikidata.org/entity/Q29766","Jean Venturini","1919","1940"
"15","http://www.wikidata.org/entity/Q31258","Henri Murger","1822","1861"
"16","http://www.wikidata.org/entity/Q46373","Edgar Degas","1834","1917"
"17","http://www.wikidata.org/entity/Q46602","Ivan Bunin","1870","1953"
"18","http://www.wikidata.org/entity/Q46706","Eugène Ionescoj","1909","1994"
"21","http://www.wikidata.org/entity/Q49767","François-René de Chateaubriand","1768","1848"
"22","http://www.wikidata.org/entity/Q50656","Zacharie Astruc","1833","1907"
"23","http://www.wikidata.org/entity/Q51107","Georges Courteline","1858","1929"
"36","http://www.wikidata.org/entity/Q5912","Marcel Duchamp","1887","1968"
"37","http://www.wikidata.org/entity/Q6050","Anna de Noailles","1876","1933"
"38","http://www.wikidata.org/entity/Q7199","Marcel Proust","1871","1922"
"39","http://www.wikidata.org/entity/Q7833","Boris Vian","1920","1959"
"41","http://www.wikidata.org/entity/Q7841","Alfred Jarry","1873","1907"
"42","http://www.wikidata.org/entity/Q9327","Guy de Maupassant","1850","1893"
"43","http://www.wikidata.org/entity/Q12571","Edmond Privat","1889","1962"
"44","http://www.wikidata.org/entity/Q12622","Gaston Waringhien","1901","1991"
"45","http://www.wikidata.org/entity/Q493","Arthur Rimbaud","1854","1891"
"46","http://www.wikidata.org/entity/Q501","Charles Baudelaire","1821","1867"
"47","http://www.wikidata.org/entity/Q504","Émile Zola","1840","1902"
"48","http://www.wikidata.org/entity/Q535","Victor Hugo","1802","1885"
"49","http://www.wikidata.org/entity/Q755","Paul Verlaine","1844","1896"
"50","http://www.wikidata.org/entity/Q767","Stéphane Mallarmé","1842","1898"
"51","http://www.wikidata.org/entity/Q1698","Serge Gainsbourg","1928","1991"
"53","http://www.wikidata.org/entity/Q1804","Barbara","1930","1997"
"54","http://www.wikidata.org/entity/Q2908","Antoine de Saint-Exupéry","1900","1944"
"55","http://www.wikidata.org/entity/Q3048","Charles Maurras","1868","1952"
"56","http://www.wikidata.org/entity/Q4128","Louis Aragon","1897","1982"
"57","http://www.wikidata.org/entity/Q4137","Elsa Triolet","1896","1970"
"92","http://www.wikidata.org/entity/Q184622","Jean Genet","1910","1986"
"94","http://www.wikidata.org/entity/Q187166","Antonin Artaud","1896","1948"
"95","http://www.wikidata.org/entity/Q188697","Alphonse de Lamartine","1790","1869"
"102","http://www.wikidata.org/entity/Q191305","Gérard de Nerval","1808","1855"
"104","http://www.wikidata.org/entity/Q117913","Jacques Arago","1790","1855"
"105","http://www.wikidata.org/entity/Q120381","Colette Peignot","1903","1938"
"106","http://www.wikidata.org/entity/Q123080","Blaise Cendrars","1887","1961"
"107","http://www.wikidata.org/entity/Q126961","Casimir Delavigne","1793","1843"
"108","http://www.wikidata.org/entity/Q127984","Jean Lorrain","1855","1906"
"111","http://www.wikidata.org/entity/Q130139","Glenmor","1931","1996"
"113","http://www.wikidata.org/entity/Q132082","Louis-Xavier de Ricard","1843","1911"
"114","http://www.wikidata.org/entity/Q132684","Saint-John Perse","1887","1975"
"115","http://www.wikidata.org/entity/Q133855","Guillaume Apollinaire","1880","1918"
"116","http://www.wikidata.org/entity/Q135640","Valery Larbaud","1881","1957"
"117","http://www.wikidata.org/entity/Q153739","Jean Arp","1886","1966"
"120","http://www.wikidata.org/entity/Q153905","Paul Celan","1920","1970"
"122","http://www.wikidata.org/entity/Q154782","Adelbert von Chamisso","1781","1838"
"123","http://www.wikidata.org/entity/Q154842","Max Ernst","1891","1976"
"125","http://www.wikidata.org/entity/Q156214","Max Jacob","1876","1944"
"126","http://www.wikidata.org/entity/Q157303","Georges Perec","1936","1982"
"127","http://www.wikidata.org/entity/Q157309","Simone Weil","1909","1943"
"128","http://www.wikidata.org/entity/Q157321","Francis Picabia","1879","1953"
"129","http://www.wikidata.org/entity/Q160780","Henri Michaux","1899","1984"
"130","http://www.wikidata.org/entity/Q161135","Savielly Tartakower","1887","1956"
"131","http://www.wikidata.org/entity/Q161955","André Breton","1896","1966"
"132","http://www.wikidata.org/entity/Q163118","Marguerite Yourcenar","1903","1987"
"133","http://www.wikidata.org/entity/Q164469","Pierre Emmanuel","1916","1984"
"134","http://www.wikidata.org/entity/Q165274","Jacques Prévert","1900","1977"
"136","http://www.wikidata.org/entity/Q170095","Robert Desnos","1900","1945"
"144","http://www.wikidata.org/entity/Q177411","Jean Giono","1895","1970"
"146","http://www.wikidata.org/entity/Q179680","Alfred de Musset","1810","1857"
"147","http://www.wikidata.org/entity/Q241098","Maurice de Vlaminck","1876","1958"
"148","http://www.wikidata.org/entity/Q245355","Zygmunt Krasinski","1812","1859"
"149","http://www.wikidata.org/entity/Q247505","Charles Méryon","1821","1868"
"152","http://www.wikidata.org/entity/Q250333","Alice Rahon","1904","1987"
"153","http://www.wikidata.org/entity/Q251037","Auguste Brizeux","1803","1858"
"154","http://www.wikidata.org/entity/Q253453","Marie d'Agoult","1805","1876"
"157","http://www.wikidata.org/entity/Q256991","Émile Augier","1820","1889"
"158","http://www.wikidata.org/entity/Q257956","Théodore Aubanel","1829","1886"
"159","http://www.wikidata.org/entity/Q264193","Émile Bernard","1868","1941"
"162","http://www.wikidata.org/entity/Q264918","Arthur de Gobineau","1816","1882"
"164","http://www.wikidata.org/entity/Q268322","Han Ryner","1861","1938"
"167","http://www.wikidata.org/entity/Q270337","Savitri Devi","1905","1982"
"168","http://www.wikidata.org/entity/Q270617","Juliette Adam","1836","1936"
"172","http://www.wikidata.org/entity/Q270800","Gaston Bachelard","1884","1962"
"174","http://www.wikidata.org/entity/Q273043","Adrienne Monnier","1892","1955"
"175","http://www.wikidata.org/entity/Q273338","Valentine de Saint-Point","1875","1953"
"176","http://www.wikidata.org/entity/Q274305","Édouard Dujardin","1861","1949"
"178","http://www.wikidata.org/entity/Q274320","Édouard Grenier","1819","1901"
"179","http://www.wikidata.org/entity/Q274429","Édouard René de Laboulaye","1811","1883"
"180","http://www.wikidata.org/entity/Q274447","Édouard Schuré","1841","1929"
"181","http://www.wikidata.org/entity/Q274485","Édouard d' Anglemont","1796","1876"
"182","http://www.wikidata.org/entity/Q274915","Émile Bergerat","1845","1923"
"183","http://www.wikidata.org/entity/Q274936","Émile Blémont","1839","1927"
"184","http://www.wikidata.org/entity/Q275935","Nina Berberova","1901","1993"
"190","http://www.wikidata.org/entity/Q282043","Jules Breton","1827","1906"
"191","http://www.wikidata.org/entity/Q283654","Maria Skobtsova","1891","1945"
"192","http://www.wikidata.org/entity/Q284769","Benjamin Péret","1899","1959"
"194","http://www.wikidata.org/entity/Q285992","Émile Henriot","1889","1961"
"195","http://www.wikidata.org/entity/Q287175","Ephraïm Mikhaël","1866","1890"
"196","http://www.wikidata.org/entity/Q289081","Jean Journet","1799","1861"
"197","http://www.wikidata.org/entity/Q289303","Étienne Arago","1802","1892"
"204","http://www.wikidata.org/entity/Q292539","Elena Vacarescu","1868","1947"
"206","http://www.wikidata.org/entity/Q294181","Comte de Lautréamont","1846","1870"
"207","http://www.wikidata.org/entity/Q295022","Louise-Victorine Ackermann","1813","1890"
"210","http://www.wikidata.org/entity/Q295830","Paul Claudel","1868","1955"
"213","http://www.wikidata.org/entity/Q297770","Marthe Bibesco","1886","1973"
"214","http://www.wikidata.org/entity/Q297881","Louise Lévêque de Vilmorin","1902","1969"
"218","http://www.wikidata.org/entity/Q309702","Alfred de Vigny","1797","1863"
"219","http://www.wikidata.org/entity/Q309704","Charles Marie René Leconte de Lisle","1818","1894"
"225","http://www.wikidata.org/entity/Q310767","Lazare Carnot","1753","1823"
"228","http://www.wikidata.org/entity/Q312630","Théodore de Banville","1823","1891"
"229","http://www.wikidata.org/entity/Q312915","Eugène Pottier","1816","1887"
"230","http://www.wikidata.org/entity/Q313096","Jean Metzinger","1883","1956"
"231","http://www.wikidata.org/entity/Q313348","Jean-Henri Fabre","1823","1915"
"232","http://www.wikidata.org/entity/Q314498","Konstantin Balmont","1867","1942"
"233","http://www.wikidata.org/entity/Q314963","Jules Amédée Barbey d'Aurevilly","1808","1889"
"235","http://www.wikidata.org/entity/Q315015","René Char","1907","1988"
"237","http://www.wikidata.org/entity/Q316536","Tristan Corbière","1845","1875"
"239","http://www.wikidata.org/entity/Q318391","Abel Bonnard","1883","1968"
"240","http://www.wikidata.org/entity/Q318440","Abel Hermant","1861","1950"
"241","http://www.wikidata.org/entity/Q320146","Léo Ferré","1916","1993"
"242","http://www.wikidata.org/entity/Q320445","Pierre François Lacenaire","1803","1836"
"243","http://www.wikidata.org/entity/Q321684","Joseph Alexandre Pierre de Ségur, Viscount of Ségur","1756","1805"
"244","http://www.wikidata.org/entity/Q322520","Jean Schlumberger","1877","1968"
"245","http://www.wikidata.org/entity/Q324427","Edmond Fleg","1874","1963"
"246","http://www.wikidata.org/entity/Q324998","Pierre-Jean de Béranger","1780","1857"
"249","http://www.wikidata.org/entity/Q453578","Albertine Sarrazin","1937","1967"
"250","http://www.wikidata.org/entity/Q454246","Nina de Callias","1843","1884"
"252","http://www.wikidata.org/entity/Q458721","Georges Hugnet","1906","1974"
"254","http://www.wikidata.org/entity/Q462364","Gustave Kahn","1859","1936"
"255","http://www.wikidata.org/entity/Q462583","André Pieyre de Mandiargues","1909","1991"
"256","http://www.wikidata.org/entity/Q462585","Edmond Jabès","1912","1991"
"257","http://www.wikidata.org/entity/Q462591","Michel Leiris","1901","1990"
"258","http://www.wikidata.org/entity/Q462604","Victor Segalen","1878","1919"
"260","http://www.wikidata.org/entity/Q462666","Léon Bloy","1846","1917"
"262","http://www.wikidata.org/entity/Q464636","Augusta Holmès","1847","1903"
"264","http://www.wikidata.org/entity/Q466987","Marceline Desbordes-Valmore","1786","1859"
"268","http://www.wikidata.org/entity/Q469833","Robert Filliou","1926","1987"
"272","http://www.wikidata.org/entity/Q472697","Marcel Schwob","1867","1905"
"273","http://www.wikidata.org/entity/Q475526","Charles Monselet","1825","1888"
"274","http://www.wikidata.org/entity/Q482188","Amédée Pigeon","1851","1905"
"275","http://www.wikidata.org/entity/Q487523","Anatole Le Braz","1859","1926"
"277","http://www.wikidata.org/entity/Q504494","Albert Caraco","1919","1971"
"278","http://www.wikidata.org/entity/Q505555","Pierre-Claude-Victor Boiste","1765","1824"
"279","http://www.wikidata.org/entity/Q506373","George Auriol","1863","1938"
"282","http://www.wikidata.org/entity/Q507746","Alexandre Arnoux","1884","1973"
"284","http://www.wikidata.org/entity/Q510114","Francis Carco","1886","1958"
"286","http://www.wikidata.org/entity/Q515589","Jean-Baptiste Clément","1836","1903"
