"","item","itemLabel","birthdate","deathdate"
"1","http://www.wikidata.org/entity/Q1192357","Natalya Medvedeva","1958","2003"
"2","http://www.wikidata.org/entity/Q3343512","Norbert Narach","1954","2009"
"3","http://www.wikidata.org/entity/Q3384752","Pierre Dhombre","1947","2007"
"4","http://www.wikidata.org/entity/Q1684760","Jean-Claude Izzo","1945","2000"
"5","http://www.wikidata.org/entity/Q295537","Eduard Limonov","1943","2020"
"6","http://www.wikidata.org/entity/Q21714446","Frédéric Musso","1941","2020"
"7","http://www.wikidata.org/entity/Q11927346","Jacques Quéralt","1941","2020"
"8","http://www.wikidata.org/entity/Q3014977","Danielle Collobert","1940","1978"
"12","http://www.wikidata.org/entity/Q2661358","Conrad Detrez","1937","1985"
"13","http://www.wikidata.org/entity/Q528804","Severo Sarduy","1937","1993"
"14","http://www.wikidata.org/entity/Q166641","Alexander Ginzburg","1936","2002"
"15","http://www.wikidata.org/entity/Q63790651","Maurice Trogoff","1934","2000"
"16","http://www.wikidata.org/entity/Q3121642","Guy Chaty","1934","2020"
"17","http://www.wikidata.org/entity/Q4139671","Alexander Glezer","1934","2016"
"18","http://www.wikidata.org/entity/Q56839726","Henri Krea","1933","2000"
"20","http://www.wikidata.org/entity/Q3301353","Maurice Rollet","1933","2014"
"21","http://www.wikidata.org/entity/Q2829895","Alain Guérin","1932","2017"
"22","http://www.wikidata.org/entity/Q15970836","Denise Jallais","1930","2020"
"23","http://www.wikidata.org/entity/Q3170984","Jean Breton","1930","2006"
"24","http://www.wikidata.org/entity/Q964869","Xavier Grall","1930","1981"
"25","http://www.wikidata.org/entity/Q1664182","Lamine Diakhate","1928","1987"
"26","http://www.wikidata.org/entity/Q913570","Pierre Bourgeade","1927","2009"
"27","http://www.wikidata.org/entity/Q3174546","Jean Sanitas","1927","2016"
"28","http://www.wikidata.org/entity/Q18008946","Daniel Anselme","1927","1989"
"29","http://www.wikidata.org/entity/Q3439941","Roland Bacri","1926","2014"
"30","http://www.wikidata.org/entity/Q3349173","Odette Casadesus","1925","1999"
"31","http://www.wikidata.org/entity/Q561835","Armand Gatti","1924","2017"
"32","http://www.wikidata.org/entity/Q3438728","Roger Bordier","1923","2015"
"33","http://www.wikidata.org/entity/Q2844637","Amédée Carriat","1922","2004"
"34","http://www.wikidata.org/entity/Q3435235","Robert Giraud","1921","1997"
"35","http://www.wikidata.org/entity/Q2347425","Frédéric Jacques Temple","1921","2020"
"36","http://www.wikidata.org/entity/Q2912778","Jean-François Chabrun","1920","1997"
"37","http://www.wikidata.org/entity/Q98923564","Hyacinthe Vulliez","1920","2017"
"38","http://www.wikidata.org/entity/Q2850850","Anne-Marie Cazalis","1920","1988"
"39","http://www.wikidata.org/entity/Q2847643","André Desthomas","1919","2004"
"40","http://www.wikidata.org/entity/Q3132928","Henry Magnan","1919","1965"
"41","http://www.wikidata.org/entity/Q2848604","André Salvet","1918","2006"
"42","http://www.wikidata.org/entity/Q16663863","Max Bilen","1916","1995"
"43","http://www.wikidata.org/entity/Q3384169","Pierre Boutang","1916","1998"
"44","http://www.wikidata.org/entity/Q164469","Pierre Emmanuel","1916","1984"
"45","http://www.wikidata.org/entity/Q1805768","Loys Masson","1915","1969"
"46","http://www.wikidata.org/entity/Q867852","Claude Roy","1915","1997"
"47","http://www.wikidata.org/entity/Q3160204","Jacques Yonnet","1915","1974"
"48","http://www.wikidata.org/entity/Q3173370","Jean Marcenac","1913","1984"
"49","http://www.wikidata.org/entity/Q34670","Albert Camus","1913","1960"
"50","http://www.wikidata.org/entity/Q3168722","Jean-Paul de Dadelsen","1913","1957"
"52","http://www.wikidata.org/entity/Q2475297","Armand Robin","1912","1961"
"53","http://www.wikidata.org/entity/Q1497792","René Leynaud","1910","1944"
"54","http://www.wikidata.org/entity/Q3102269","Georges Belmont","1909","2008"
"55","http://www.wikidata.org/entity/Q3383708","Pierre Andreu","1909","1987"
"56","http://www.wikidata.org/entity/Q1488","Robert Brasillach","1909","1945"
"57","http://www.wikidata.org/entity/Q593350","Pierre Unik","1909","1945"
"58","http://www.wikidata.org/entity/Q18515543","Mounie Nadler","1908","1942"
"59","http://www.wikidata.org/entity/Q3083769","François Abgrall","1906","1930"
"60","http://www.wikidata.org/entity/Q2978465","Claudine Chonez","1906","1995"
"62","http://www.wikidata.org/entity/Q2633593","Jean Amrouche","1906","1962"
"63","http://www.wikidata.org/entity/Q2366496","René Laporte","1905","1954"
"64","http://www.wikidata.org/entity/Q3483357","Sidonie Baba","1905","1973"
"65","http://www.wikidata.org/entity/Q3171893","Jean Durtal","1905","1999"
"66","http://www.wikidata.org/entity/Q1368557","Vladimir Solomonovich Pozner","1905","1992"
"67","http://www.wikidata.org/entity/Q3263223","Louis Truc","1904","1973"
"68","http://www.wikidata.org/entity/Q3371319","Paul Gilson","1904","1963"
"69","http://www.wikidata.org/entity/Q2706190","Raoul Follereau","1903","1977"
"70","http://www.wikidata.org/entity/Q333615","Raymond Radiguet","1903","1923"
"71","http://www.wikidata.org/entity/Q3293020","Marietta Martin","1902","1944"
"72","http://www.wikidata.org/entity/Q15970653","Henriette Dibon","1902","1989"
"73","http://www.wikidata.org/entity/Q297881","Louise Lévêque de Vilmorin","1902","1969"
"74","http://www.wikidata.org/entity/Q3175055","Jean Vincent-Bréchignac","1901","1981"
"75","http://www.wikidata.org/entity/Q56452288","Q56452288","1901","1993"
