;lien;nom;naissance;mort;age;prefaces;id_wikidata;idref;memberof_af;reception;subject;ratio_prefaces;bnf;lien_bnf;nb_oeuvres;nb_oeuvres_1940;nb_ouvrages;nb_ouvrages_1940
1;http://www.wikidata.org/entity/Q83158;Jean Cocteau;1889;1963;74;20;Q83158;26792680;FALSE;NA;1650;0.392156862745098;11897143s;http://data.bnf.fr/ark:/12148/cb11897143s#about;184;58;372;100
2;http://www.wikidata.org/entity/Q9364;Jean-Paul Sartre;1905;1980;75;NA;Q9364;27123227;FALSE;NA;1213;NA;11923735k;http://data.bnf.fr/ark:/12148/cb11923735k#about;91;4;293;6
3;http://www.wikidata.org/entity/Q42156;Henri Bergson;1859;1941;82;23;Q42156;27421848;TRUE;1914;1035;0.283950617283951;11891433v;http://data.bnf.fr/ark:/12148/cb11891433v#about;22;10;130;48
4;http://www.wikidata.org/entity/Q47484;André Gide;1869;1951;82;22;Q47484;26890593;FALSE;NA;910;0.309859154929577;11904849c;http://data.bnf.fr/ark:/12148/cb11904849c#about;69;22;392;133
5;http://www.wikidata.org/entity/Q200639;Paul Valéry;1871;1945;74;131;Q200639;27174484;TRUE;1925;905;1.89855072463768;119274707;http://data.bnf.fr/ark:/12148/cb119274707#about;70;31;289;88
6;http://www.wikidata.org/entity/Q295830;Paul Claudel;1868;1955;87;33;Q295830;26790475;FALSE;NA;793;0.458333333333333;118969563;http://data.bnf.fr/ark:/12148/cb118969563#about;100;34;325;104
7;http://www.wikidata.org/entity/Q151164;André Malraux;1901;1976;75;5;Q151164;02700483X;FALSE;NA;685;0.128205128205128;11914167k;http://data.bnf.fr/ark:/12148/cb11914167k#about;92;27;271;44
8;http://www.wikidata.org/entity/Q151820;Louis-Ferdinand Céline;1894;1961;67;NA;Q151820;26774240;FALSE;NA;604;NA;11895729d;http://data.bnf.fr/ark:/12148/cb11895729d#about;38;5;130;12
9;http://www.wikidata.org/entity/Q189564;Pierre Teilhard de Chardin;1881;1955;74;NA;Q189564;27156702;FALSE;NA;523;NA;11926160v;http://data.bnf.fr/ark:/12148/cb11926160v#about;99;15;131;16
10;http://www.wikidata.org/entity/Q81685;François Mauriac;1885;1970;85;13;Q81685;27018741;TRUE;1933;495;0.236363636363636;11915247g;http://data.bnf.fr/ark:/12148/cb11915247g#about;29;10;133;25
11;http://www.wikidata.org/entity/Q187166;Antonin Artaud;1896;1948;52;NA;Q187166;26692465;FALSE;NA;448;NA;118892409;http://data.bnf.fr/ark:/12148/cb118892409#about;27;10;45;11
12;http://www.wikidata.org/entity/Q161955;André Breton;1896;1966;70;15;Q161955;26751852;FALSE;NA;410;0.340909090909091;118939509;http://data.bnf.fr/ark:/12148/cb118939509#about;83;31;169;45
13;http://www.wikidata.org/entity/Q4128;Louis Aragon;1897;1982;85;5;Q4128;26689073;FALSE;NA;406;0.116279069767442;119347816;http://data.bnf.fr/ark:/12148/cb119347816#about;161;23;377;31
14;http://www.wikidata.org/entity/Q207359;Georges Bataille;1897;1962;65;NA;Q207359;26649446;FALSE;NA;399;NA;11885715h;http://data.bnf.fr/ark:/12148/cb11885715h#about;54;6;110;6
15;http://www.wikidata.org/entity/Q315072;Georges Bernanos;1888;1948;60;1;Q315072;27281388;FALSE;NA;397;0.0192307692307692;118914795;http://data.bnf.fr/ark:/12148/cb118914795#about;46;10;192;16
16;http://www.wikidata.org/entity/Q160780;Henri Michaux;1899;1984;85;NA;Q160780;27027767;FALSE;NA;393;NA;119159582;http://data.bnf.fr/ark:/12148/cb119159582#about;101;13;165;14
17;http://www.wikidata.org/entity/Q177411;Jean Giono;1895;1970;75;2;Q177411;26892286;FALSE;NA;391;0.0444444444444444;119050002;http://data.bnf.fr/ark:/12148/cb119050002#about;118;21;360;42
18;http://www.wikidata.org/entity/Q163118;Marguerite Yourcenar;1903;1987;84;1;Q163118;27201694;FALSE;NA;348;0.027027027027027;11929535g;http://data.bnf.fr/ark:/12148/cb11929535g#about;45;10;97;15
19;http://www.wikidata.org/entity/Q2908;Antoine de Saint-Exupéry;1900;1944;44;2;Q2908;27118266;FALSE;NA;340;0.05;11923342r;http://data.bnf.fr/ark:/12148/cb11923342r#about;62;6;232;9
20;http://www.wikidata.org/entity/Q45723;Jacques Maritain;1882;1973;91;27;Q45723;27010562;FALSE;NA;320;0.46551724137931;119146209;http://data.bnf.fr/ark:/12148/cb119146209#about;114;42;178;52
21;http://www.wikidata.org/entity/Q47162;Romain Rolland;1866;1944;78;35;Q47162;27106861;FALSE;NA;319;0.472972972972973;11922460q;http://data.bnf.fr/ark:/12148/cb11922460q#about;37;16;760;377
22;http://www.wikidata.org/entity/Q315015;René Char;1907;1988;81;1;Q315015;26778912;FALSE;NA;314;0.0303030303030303;11896104n;http://data.bnf.fr/ark:/12148/cb11896104n#about;159;20;241;23
23;http://www.wikidata.org/entity/Q270800;Gaston Bachelard;1884;1962;78;1;Q270800;26699710;FALSE;NA;299;0.0178571428571429;11889795z;http://data.bnf.fr/ark:/12148/cb11889795z#about;43;13;122;14
24;http://www.wikidata.org/entity/Q309974;Jean Giraudoux;1882;1944;62;14;Q309974;26893177;FALSE;NA;298;0.241379310344828;119050769;http://data.bnf.fr/ark:/12148/cb119050769#about;143;85;434;172
25;http://www.wikidata.org/entity/Q3048;Charles Maurras;1868;1952;84;46;Q3048;27019195;TRUE;1938;278;0.638888888888889;11915277d;http://data.bnf.fr/ark:/12148/cb11915277d#about;21;10;27;14
26;http://www.wikidata.org/entity/Q123080;Blaise Cendrars;1887;1961;74;3;Q123080;26774348;FALSE;NA;263;0.0566037735849057;11895739q;http://data.bnf.fr/ark:/12148/cb11895739q#about;62;19;138;32
27;http://www.wikidata.org/entity/Q152176;Paul Éluard;1895;1952;57;1;Q152176;26655195;FALSE;NA;214;0.0222222222222222;11886231m;http://data.bnf.fr/ark:/12148/cb11886231m#about;144;33;264;41
28;http://www.wikidata.org/entity/Q379956;Henry de Montherlant;1895;1972;77;5;Q379956;27036197;FALSE;NA;208;0.111111111111111;119166574;http://data.bnf.fr/ark:/12148/cb119166574#about;128;49;340;91
29;http://www.wikidata.org/entity/Q156214;Max Jacob;1876;1944;68;6;Q156214;26932644;FALSE;NA;207;0.09375;11908382s;http://data.bnf.fr/ark:/12148/cb11908382s#about;15;7;38;15
30;http://www.wikidata.org/entity/Q470557;Jean Paulhan;1884;1968;84;1;Q470557;27060810;FALSE;NA;171;0.0178571428571429;11918814w;http://data.bnf.fr/ark:/12148/cb11918814w#about;84;8;122;13
31;http://www.wikidata.org/entity/Q236630;Marcel Pagnol;1895;1974;79;1;Q236630;27055752;FALSE;NA;165;0.0222222222222222;119184123;http://data.bnf.fr/ark:/12148/cb119184123#about;51;10;134;13
32;http://www.wikidata.org/entity/Q129155;Roger Martin du Gard;1881;1958;77;1;Q129155;27271803;FALSE;NA;159;0.0169491525423729;119147766;http://data.bnf.fr/ark:/12148/cb119147766#about;29;16;135;62
33;http://www.wikidata.org/entity/Q154145;Gabriel Marcel;1889;1973;84;7;Q154145;27007561;FALSE;NA;158;0.137254901960784;119143941;http://data.bnf.fr/ark:/12148/cb119143941#about;78;22;103;28
34;http://www.wikidata.org/entity/Q165274;Jacques Prévert;1900;1977;77;NA;Q165274;27082512;FALSE;NA;154;NA;119206049;http://data.bnf.fr/ark:/12148/cb119206049#about;98;5;219;6
35;http://www.wikidata.org/entity/Q135640;Valery Larbaud;1881;1957;76;25;Q135640;26966107;FALSE;NA;141;0.423728813559322;11911085h;http://data.bnf.fr/ark:/12148/cb11911085h#about;84;40;144;67
36;http://www.wikidata.org/entity/Q496850;René Guénon;1886;1951;65;NA;Q496850;26906120;FALSE;NA;136;NA;11906145j;http://data.bnf.fr/ark:/12148/cb11906145j#about;41;18;107;22
37;http://www.wikidata.org/entity/Q440369;Maurice Denis;1870;1943;73;4;Q440369;29867002;FALSE;NA;128;0.0571428571428571;121402945;http://data.bnf.fr/ark:/12148/cb121402945#about;19;9;26;14
38;http://www.wikidata.org/entity/Q1399264;Henri Bosco;1888;1976;88;NA;Q1399264;26740702;FALSE;NA;121;NA;118930457;http://data.bnf.fr/ark:/12148/cb118930457#about;36;8;123;11
39;http://www.wikidata.org/entity/Q325974;Pierre Drieu La Rochelle;1893;1945;52;5;Q325974;26837471;FALSE;NA;120;0.106382978723404;119006177;http://data.bnf.fr/ark:/12148/cb119006177#about;46;19;90;24
40;http://www.wikidata.org/entity/Q272;Paul Morand;1888;1976;88;26;Q272;27037002;FALSE;NA;111;0.5;11916728t;http://data.bnf.fr/ark:/12148/cb11916728t#about;126;69;249;113
41;http://www.wikidata.org/entity/Q337276;Sacha Guitry;1885;1957;72;3;Q337276;27324206;FALSE;NA;111;0.0545454545454545;119065193;http://data.bnf.fr/ark:/12148/cb119065193#about;96;44;167;58
42;http://www.wikidata.org/entity/Q379943;Pierre Jean Jouve;1887;1976;89;NA;Q379943;26941910;FALSE;NA;108;NA;119091338;http://data.bnf.fr/ark:/12148/cb119091338#about;79;39;201;71
43;http://www.wikidata.org/entity/Q20733;Georges Duhamel;1884;1966;82;18;Q20733;26842181;TRUE;1935;106;0.321428571428571;11901017t;http://data.bnf.fr/ark:/12148/cb11901017t#about;144;76;335;144
44;http://www.wikidata.org/entity/Q379931;Pierre Reverdy;1889;1960;71;1;Q379931;27096327;FALSE;NA;102;0.0196078431372549;11921653r;http://data.bnf.fr/ark:/12148/cb11921653r#about;29;11;46;13
45;http://www.wikidata.org/entity/Q170095;Robert Desnos;1900;1945;45;3;Q170095;26827832;FALSE;NA;102;0.075;11899866v;http://data.bnf.fr/ark:/12148/cb11899866v#about;53;6;81;9
46;http://www.wikidata.org/entity/Q334983;Jules Romains;1885;1972;87;4;Q334983;27107183;FALSE;NA;96;0.0727272727272727;13091632z;http://data.bnf.fr/ark:/12148/cb13091632z#about;151;71;295;113
47;http://www.wikidata.org/entity/Q369758;Jacques Copeau;1879;1949;70;9;Q369758;30111641;FALSE;NA;91;0.147540983606557;11897602k;http://data.bnf.fr/ark:/12148/cb11897602k#about;8;5;9;6
48;http://www.wikidata.org/entity/Q732569;Jules Supervielle;1884;1960;76;NA;Q732569;27151794;FALSE;NA;89;NA;119257592;http://data.bnf.fr/ark:/12148/cb119257592#about;59;26;115;40
49;http://www.wikidata.org/entity/Q318026;Marcel Aymé;1902;1967;65;1;Q318026;26698544;FALSE;NA;87;0.0263157894736842;118897113;http://data.bnf.fr/ark:/12148/cb118897113#about;76;18;240;33
50;http://www.wikidata.org/entity/Q561479;Marcel Jouhandeau;1888;1979;91;1;Q561479;26941198;FALSE;NA;83;0.0192307692307692;119090768;http://data.bnf.fr/ark:/12148/cb119090768#about;110;28;191;47
51;http://www.wikidata.org/entity/Q224029;André Maurois;1885;1967;82;46;Q224029;27019098;TRUE;1938;80;0.836363636363636;119152700;http://data.bnf.fr/ark:/12148/cb119152700#about;29;7;47;13
52;http://www.wikidata.org/entity/Q16409;Tristan Tzara;1896;1963;67;2;Q16409;27172058;FALSE;NA;80;0.0454545454545455;119273045;http://data.bnf.fr/ark:/12148/cb119273045#about;63;20;102;25
53;http://www.wikidata.org/entity/Q1393434;Joë Bousquet;1897;1950;53;NA;Q1393434;27281833;FALSE;NA;78;NA;11893542k;http://data.bnf.fr/ark:/12148/cb11893542k#about;51;10;73;12
54;http://www.wikidata.org/entity/Q430765;Roger Caillois;1913;1978;65;NA;Q430765;26762323;FALSE;NA;77;NA;11894811c;http://data.bnf.fr/ark:/12148/cb11894811c#about;67;5;127;7
55;http://www.wikidata.org/entity/Q779953;Henri Pourrat;1887;1959;72;10;Q779953;27081257;FALSE;NA;76;0.188679245283019;119204847;http://data.bnf.fr/ark:/12148/cb119204847#about;107;38;226;51
56;http://www.wikidata.org/entity/Q336467;Philippe Soupault;1897;1990;93;4;Q336467;02714500X;FALSE;NA;76;0.0930232558139535;11925251x;http://data.bnf.fr/ark:/12148/cb11925251x#about;12;2;20;8
57;http://www.wikidata.org/entity/Q862935;Louis Guilloux;1899;1980;81;1;Q862935;26909820;FALSE;NA;75;0.024390243902439;11906466b;http://data.bnf.fr/ark:/12148/cb11906466b#about;30;6;68;11
58;http://www.wikidata.org/entity/Q22750;Maurice Genevoix;1890;1980;90;4;Q22750;26887266;FALSE;NA;62;0.08;11904577s;http://data.bnf.fr/ark:/12148/cb11904577s#about;63;12;144;17
59;http://www.wikidata.org/entity/Q1488;Robert Brasillach;1909;1945;36;NA;Q1488;26750139;FALSE;NA;60;NA;11893803h;http://data.bnf.fr/ark:/12148/cb11893803h#about;33;16;64;19
60;http://www.wikidata.org/entity/Q817484;Benjamin Fondane;1898;1944;46;NA;Q817484;26868202;FALSE;NA;57;NA;11903030h;http://data.bnf.fr/ark:/12148/cb11903030h#about;31;6;39;6
61;http://www.wikidata.org/entity/Q545423;Jacques Audiberti;1899;1965;66;NA;Q545423;26695553;FALSE;NA;56;NA;118894714;http://data.bnf.fr/ark:/12148/cb118894714#about;48;4;78;6
62;http://www.wikidata.org/entity/Q723621;Paul Nizan;1905;1940;35;NA;Q723621;27048659;FALSE;NA;54;NA;11917755z;http://data.bnf.fr/ark:/12148/cb11917755z#about;13;7;49;16
